¾®ºÅ	Éî¶È	TVD	GR	_RT	_SP	_AC
LT2	34.5	34.5	86.829	51.068	73.633	452.815
LT2	34.625	34.625	87.607	51.98	73.49	418.191
LT2	34.75	34.75	86.65	52.786	73.359	378.275
LT2	34.875	34.875	84.138	53.638	73.241	356.593
LT2	35	35	80.568	54.915	73.136	353.948
LT2	35.125	35.125	76.687	56.853	73.046	355.988
LT2	35.25	35.25	73.344	59.13	72.969	358.487
LT2	35.375	35.375	71.379	61.174	72.907	364.327
LT2	35.5	35.5	71.037	62.43	72.861	367.012
LT2	35.625	35.625	71.899	62.912	72.831	365.213
LT2	35.75	35.75	73.138	62.53	72.815	360.512
LT2	35.875	35.875	74.126	61.079	72.815	346.088
LT2	36	36	74.688	59.1	72.826	321.511
LT2	36.125	36.125	75.633	57.36	72.846	293.01
LT2	36.25	36.25	77.785	56.422	72.873	269.441
LT2	36.375	36.375	80.622	55.794	72.904	257.604
LT2	36.5	36.5	82.051	55.008	72.938	259.179
LT2	36.625	36.625	81.939	53.955	72.973	270.156
LT2	36.75	36.75	82.049	52.654	73.007	290.585
LT2	36.875	36.875	83.323	51.031	73.04	316.988
LT2	37	37	84.735	49.154	73.068	343.578
LT2	37.125	37.125	85.666	47.285	73.093	369.754
LT2	37.25	37.25	86.172	45.832	73.114	387.418
LT2	37.375	37.375	86.261	44.822	73.13	393.311
LT2	37.5	37.5	85.712	44.091	73.143	393.082
LT2	37.625	37.625	85.209	43.33	73.15	385.969
LT2	37.75	37.75	85.194	42.47	73.153	366.905
LT2	37.875	37.875	85.427	41.804	73.149	340.459
LT2	38	38	85.724	41.77	73.14	320.31
LT2	38.125	38.125	85.861	42.335	73.125	312.316
LT2	38.25	38.25	85.606	43.178	73.104	319.363
LT2	38.375	38.375	84.953	43.737	73.077	339.127
LT2	38.5	38.5	83.833	43.797	73.045	364.52
LT2	38.625	38.625	82.348	43.443	73.007	382.554
LT2	38.75	38.75	81.167	42.864	72.964	389.295
LT2	38.875	38.875	81.598	42.207	72.916	389.043
LT2	39	39	83.467	41.92	72.863	382.118
LT2	39.125	39.125	85.373	42.335	72.804	367.634
LT2	39.25	39.25	85.747	43.426	72.739	347.468
LT2	39.375	39.375	84.626	44.527	72.668	324.083
LT2	39.5	39.5	82.426	45.263	72.589	301.493
LT2	39.625	39.625	79.404	45.977	72.502	285.687
LT2	39.75	39.75	76.038	47.341	72.404	277.894
LT2	39.875	39.875	72.646	49.612	72.297	274.943
LT2	40	40	69.802	52.798	72.178	274.633
LT2	40.125	40.125	68.25	56.335	72.046	275.854
LT2	40.25	40.25	68.416	59.547	71.903	279.034
LT2	40.375	40.375	69.448	61.648	71.744	283.683
LT2	40.5	40.5	70.202	62.807	71.572	288.447
LT2	40.625	40.625	69.975	63.376	71.388	293.107
LT2	40.75	40.75	69.827	63.268	71.192	296.403
LT2	40.875	40.875	70.727	62.522	70.989	297.649
LT2	41	41	72.722	61.409	70.779	297.737
LT2	41.125	41.125	74.745	60.456	70.562	299.475
LT2	41.25	41.25	75.862	59.612	70.339	312.185
LT2	41.375	41.375	75.646	58.059	70.109	338.306
LT2	41.5	41.5	74.755	55.535	69.872	368.65
LT2	41.625	41.625	74.3	52.841	69.628	399.489
LT2	41.75	41.75	75.479	50.971	69.377	422.717
LT2	41.875	41.875	77.966	50.04	69.119	418.78
LT2	42	42	80.19	49.744	68.855	387.271
LT2	42.125	42.125	81.095	49.714	68.585	347.475
LT2	42.25	42.25	81.1	49.513	68.311	307.533
LT2	42.375	42.375	81.242	48.6	68.031	275.762
LT2	42.5	42.5	81.351	46.978	67.748	274.612
LT2	42.625	42.625	80.884	45.452	67.462	298.311
LT2	42.75	42.75	79.81	44.634	67.173	328.015
LT2	42.875	42.875	78.883	44.487	66.882	348.247
LT2	43	43	78.787	44.845	66.59	348.905
LT2	43.125	43.125	79.316	45.629	66.296	327.222
LT2	43.25	43.25	79.659	46.897	65.999	299.816
LT2	43.375	43.375	79.512	48.76	65.701	276.31
LT2	43.5	43.5	79.544	50.962	65.4	265.639
LT2	43.625	43.625	80.073	52.75	65.099	270.306
LT2	43.75	43.75	80.571	53.66	64.797	280.394
LT2	43.875	43.875	80.24	53.727	64.497	282.103
LT2	44	44	79.282	53.538	64.198	278.622
LT2	44.125	44.125	78.613	53.427	63.9	274.752
LT2	44.25	44.25	78.496	53.618	63.604	272.301
LT2	44.375	44.375	78.54	53.929	63.307	275.331
LT2	44.5	44.5	78.338	53.739	63.011	285.081
LT2	44.625	44.625	78.177	52.697	62.714	293.446
LT2	44.75	44.75	78.231	51.15	62.418	297.689
LT2	44.875	44.875	77.915	49.756	62.125	300.107
LT2	45	45	77.33	48.784	61.836	301.68
LT2	45.125	45.125	77.451	48.019	61.551	303.669
LT2	45.25	45.25	78.899	47.263	61.271	309.742
LT2	45.375	45.375	81.438	46.547	60.996	317.871
LT2	45.5	45.5	83.894	46.085	60.726	322.414
LT2	45.625	45.625	85.097	46.107	60.46	319.126
LT2	45.75	45.75	84.824	46.545	60.198	311.865
LT2	45.875	45.875	84.062	47.265	59.942	305.087
LT2	46	46	83.922	48.06	59.69	301.306
LT2	46.125	46.125	84.606	49.066	59.442	301.078
LT2	46.25	46.25	85.489	50.622	59.197	302.441
LT2	46.375	46.375	85.886	52.542	58.956	303.587
LT2	46.5	46.5	84.9	54.45	58.72	303.592
LT2	46.625	46.625	82.523	55.996	58.489	299.167
LT2	46.75	46.75	80.108	56.979	58.265	292.143
LT2	46.875	46.875	79.41	57.152	58.048	285.571
LT2	47	47	80.001	56.236	57.838	278.993
LT2	47.125	47.125	80.792	54.631	57.632	273.56
LT2	47.25	47.25	81.204	53.019	57.429	271.156
LT2	47.375	47.375	81.579	52.271	57.227	269.82
LT2	47.5	47.5	82.621	52.447	57.028	268.073
LT2	47.625	47.625	84.013	52.986	56.833	263.958
LT2	47.75	47.75	84.683	53.24	56.645	255.946
LT2	47.875	47.875	84.315	53.319	56.465	250.448
LT2	48	48	83.199	53.653	56.295	252.239
LT2	48.125	48.125	82.061	54.307	56.135	256.267
LT2	48.25	48.25	81.494	54.881	55.986	262.845
LT2	48.375	48.375	81.795	54.746	55.851	275.441
LT2	48.5	48.5	82.73	53.405	55.729	285.681
LT2	48.625	48.625	83.715	50.851	55.623	288.967
LT2	48.75	48.75	84.717	47.897	55.534	292.181
LT2	48.875	48.875	85.916	45.43	55.46	296.565
LT2	49	49	86.96	43.778	55.402	296.9
LT2	49.125	49.125	87.215	42.748	55.36	296.263
LT2	49.25	49.25	87.01	42.107	55.333	297.718
LT2	49.375	49.375	87.486	41.801	55.327	296.486
LT2	49.5	49.5	88.601	41.54	55.344	294.192
LT2	49.625	49.625	89.45	41.161	55.384	296.721
LT2	49.75	49.75	88.988	40.941	55.45	301.278
LT2	49.875	49.875	87.317	41.207	55.538	303.756
LT2	50	50	85.221	41.768	55.645	307.943
LT2	50.125	50.125	83.066	42.35	55.769	310.98
LT2	50.25	50.25	80.526	43.313	55.905	307.005
LT2	50.375	50.375	77.523	45.183	56.05	300.689
LT2	50.5	50.5	75.203	47.69	56.201	297.148
LT2	50.625	50.625	74.926	49.921	56.357	292.054
LT2	50.75	50.75	77.095	51.297	56.515	285.7
LT2	50.875	50.875	80.069	51.817	56.671	281.479
LT2	51	51	82.055	51.531	56.826	278.252
LT2	51.125	51.125	82.325	50.381	56.978	278.65
LT2	51.25	51.25	82.071	48.934	57.128	284.239
LT2	51.375	51.375	83.22	47.569	57.279	290.207
LT2	51.5	51.5	85.627	46.182	57.432	294.338
LT2	51.625	51.625	87.662	44.811	57.584	297.75
LT2	51.75	51.75	88.05	43.895	57.735	297.154
LT2	51.875	51.875	88.092	43.729	57.882	294.762
LT2	52	52	88.987	43.92	58.022	296.123
LT2	52.125	52.125	90.014	44.254	58.156	298.752
LT2	52.25	52.25	89.549	45.099	58.283	301.579
LT2	52.375	52.375	87.599	46.406	58.405	310.058
LT2	52.5	52.5	85.432	47.362	58.52	320.25
LT2	52.625	52.625	84.115	47.21	58.629	327.365
LT2	52.75	52.75	83.773	46.024	58.733	335.272
LT2	52.875	52.875	83.969	44.326	58.833	342.278
LT2	53	53	84.245	42.849	58.931	341.545
LT2	53.125	53.125	84.845	41.775	59.029	337.134
LT2	53.25	53.25	86.241	41.218	59.129	340.257
LT2	53.375	53.375	87.862	41.185	59.23	344.366
LT2	53.5	53.5	88.248	41.564	59.332	341.515
LT2	53.625	53.625	87.423	41.907	59.436	340.791
LT2	53.75	53.75	86.417	41.877	59.539	342.676
LT2	53.875	53.875	86.331	41.607	59.64	339.439
LT2	54	54	86.643	41.355	59.741	336.112
LT2	54.125	54.125	86.502	41.029	59.842	334.193
LT2	54.25	54.25	85.837	40.663	59.944	323.468
LT2	54.375	54.375	85.18	40.623	60.048	304.928
LT2	54.5	54.5	85.051	41.064	60.154	285.376
LT2	54.625	54.625	85.255	41.596	60.264	271.936
LT2	54.75	54.75	85.436	41.368	60.38	266.449
LT2	54.875	54.875	85.887	40.044	60.502	269.341
LT2	55	55	86.607	38.094	60.634	288.026
LT2	55.125	55.125	86.855	36.645	60.775	318.007
LT2	55.25	55.25	86.283	36.403	60.926	349.006
LT2	55.375	55.375	85.454	37.103	61.084	381.796
LT2	55.5	55.5	84.843	38.026	61.247	410.638
LT2	55.625	55.625	84.304	38.803	61.412	418.933
LT2	55.75	55.75	83.382	39.264	61.577	411.501
LT2	55.875	55.875	82.262	39.143	61.741	399.683
LT2	56	56	81.437	38.16	61.9	384.304
LT2	56.125	56.125	81.232	36.869	62.055	372.562
LT2	56.25	56.25	81.842	35.866	62.204	369.471
LT2	56.375	56.375	82.589	35.38	62.344	369.818
LT2	56.5	56.5	82.998	35.038	62.476	369.82
LT2	56.625	56.625	82.916	34.761	62.596	369.82
LT2	56.75	56.75	82.478	34.633	62.705	369.82
LT2	56.875	56.875	82.027	34.435	62.8	369.82
LT2	57	57	82.417	34.02	62.879	369.796
LT2	57.125	57.125	83.971	33.723	62.941	369.995
LT2	57.25	57.25	86.077	33.827	62.982	369.331
LT2	57.375	57.375	87.403	34.163	62.998	360.37
LT2	57.5	57.5	87.633	34.265	62.987	339.909
LT2	57.625	57.625	87.152	34.217	62.948	318.398
LT2	57.75	57.75	86.887	34.315	62.879	309.515
LT2	57.875	57.875	87.042	34.435	62.784	311.122
LT2	58	58	87.043	34.411	62.664	319.119
LT2	58.125	58.125	86.047	34.539	62.522	329.498
LT2	58.25	58.25	84.026	35.234	62.363	339.761
LT2	58.375	58.375	82.086	36.351	62.186	346.875
LT2	58.5	58.5	81.283	37.012	61.995	341.331
LT2	58.625	58.625	81.32	36.897	61.791	326.607
LT2	58.75	58.75	81.474	36.32	61.578	313.242
LT2	58.875	58.875	81.416	35.809	61.358	296.946
LT2	59	59	81.158	35.373	61.134	272.599
LT2	59.125	59.125	81.357	34.826	60.909	254.628
LT2	59.25	59.25	82.675	34.404	60.686	257.35
LT2	59.375	59.375	85.004	34.415	60.468	274.189
LT2	59.5	59.5	87.181	34.929	60.261	284.892
LT2	59.625	59.625	88.019	35.881	60.067	287.172
LT2	59.75	59.75	86.547	37.356	59.893	287.623
LT2	59.875	59.875	83.569	39.172	59.743	281.527
LT2	60	60	80.482	40.821	59.621	269.841
LT2	60.125	60.125	79.038	41.777	59.53	263.314
LT2	60.25	60.25	79.407	41.777	59.473	263.548
LT2	60.375	60.375	80.418	41.086	59.446	264.488
LT2	60.5	60.5	80.807	40.021	59.45	265.088
LT2	60.625	60.625	80.402	39.061	59.482	266.016
LT2	60.75	60.75	79.508	38.622	59.538	268.319
LT2	60.875	60.875	79.316	38.715	59.615	272.359
LT2	61	61	80.187	38.643	59.706	276.223
LT2	61.125	61.125	80.996	37.832	59.808	278.636
LT2	61.25	61.25	80.665	36.721	59.911	279.685
LT2	61.375	61.375	79.406	36.637	60.011	280.466
LT2	61.5	61.5	78.493	37.979	60.099	279.845
LT2	61.625	61.625	78.536	39.487	60.17	277.309
LT2	61.75	61.75	79.179	39.879	60.22	274.681
LT2	61.875	61.875	80.312	38.729	60.243	273.018
LT2	62	62	82.051	36.765	60.235	271.492
LT2	62.125	62.125	84.146	34.544	60.195	270.685
LT2	62.25	62.25	85.689	32.405	60.116	272.308
LT2	62.375	62.375	86.684	30.747	60.001	275.27
LT2	62.5	62.5	87.565	29.883	59.851	276.918
LT2	62.625	62.625	88.179	29.865	59.663	276.68
LT2	62.75	62.75	88.165	30.095	59.446	276.306
LT2	62.875	62.875	87.707	30.278	59.202	280.069
LT2	63	63	86.758	30.383	58.938	296.586
LT2	63.125	63.125	85.53	30.407	58.662	323.352
LT2	63.25	63.25	85.067	30.264	58.382	354.139
LT2	63.375	63.375	85.948	29.969	58.108	384.611
LT2	63.5	63.5	87.116	29.669	57.849	408.429
LT2	63.625	63.625	86.319	29.38	57.614	417.806
LT2	63.75	63.75	84.321	29.137	57.41	417.465
LT2	63.875	63.875	82.93	29.129	57.243	414.399
LT2	64	64	82.65	29.488	57.123	411.174
LT2	64.125	64.125	82.674	30.122	57.049	408.76
LT2	64.25	64.25	81.853	31.109	57.023	408.104
LT2	64.375	64.375	80.346	32.764	57.054	405.105
LT2	64.5	64.5	79.119	34.991	57.133	389.326
LT2	64.625	64.625	78.454	37.347	57.264	358.706
LT2	64.75	64.75	78.183	38.881	57.445	323.469
LT2	64.875	64.875	78.054	39.08	57.669	287.805
LT2	65	65	78.533	38.024	57.933	255.537
LT2	65.125	65.125	79.957	36.675	58.23	237.772
LT2	65.25	65.25	81.774	35.806	58.55	232.606
LT2	65.375	65.375	83.004	35.693	58.887	230.089
LT2	65.5	65.5	82.902	36.084	59.227	228.532
LT2	65.625	65.625	81.323	36.702	59.562	230.425
LT2	65.75	65.75	79.811	37.049	59.882	234.934
LT2	65.875	65.875	79.666	36.759	60.181	239.828
LT2	66	66	81.245	35.896	60.456	244.278
LT2	66.125	66.125	82.929	35.006	60.7	246.743
LT2	66.25	66.25	83.637	34.489	60.915	246.705
LT2	66.375	66.375	83.862	34.346	61.096	245.127
LT2	66.5	66.5	84.773	34.289	61.24	244.177
LT2	66.625	66.625	86.449	34.152	61.351	244.993
LT2	66.75	66.75	87.431	33.971	61.425	247.902
LT2	66.875	66.875	86.984	33.806	61.462	252.44
LT2	67	67	85.574	33.721	61.465	257.641
LT2	67.125	67.125	84.495	33.871	61.431	262.51
LT2	67.25	67.25	84.181	34.219	61.366	267.673
LT2	67.375	67.375	84.083	34.802	61.271	272.005
LT2	67.5	67.5	83.064	36.091	61.147	272.277
LT2	67.625	67.625	80.751	38.414	61.003	270.777
LT2	67.75	67.75	77.57	41.596	60.841	269.895
LT2	67.875	67.875	74.846	44.494	60.667	267.364
LT2	68	68	73.208	46.314	60.487	264.115
LT2	68.125	68.125	72.496	47.056	60.303	264.152
LT2	68.25	68.25	72.261	47.452	60.12	265.725
LT2	68.375	68.375	72.805	48.015	59.939	264.842
LT2	68.5	68.5	74.452	48.917	59.762	261.74
LT2	68.625	68.625	76.427	50.027	59.591	259.782
LT2	68.75	68.75	77.464	51.186	59.427	258.7
LT2	68.875	68.875	76.602	52.442	59.272	256.976
LT2	69	69	74.577	54.116	59.125	257.722
LT2	69.125	69.125	73.237	56.507	58.987	261.64
LT2	69.25	69.25	73.419	59.523	58.857	264.006
LT2	69.375	69.375	75.194	62.18	58.735	264.036
LT2	69.5	69.5	77.708	63.458	58.62	262.686
LT2	69.625	69.625	79.622	63.043	58.512	258.241
LT2	69.75	69.75	80.364	61.686	58.409	251.704
LT2	69.875	69.875	79.918	60.226	58.311	246.079
LT2	70	70	78.906	59.14	58.217	242.859
LT2	70.125	70.125	77.646	58.725	58.124	241.837
LT2	70.25	70.25	76.036	59.269	58.031	243.732
LT2	70.375	70.375	74.882	60.238	57.937	249.309
LT2	70.5	70.5	74.815	60.805	57.838	255.29
LT2	70.625	70.625	75.322	60.165	57.732	256.3
LT2	70.75	70.75	75.642	58.899	57.618	254.991
LT2	70.875	70.875	72.963	57.912	57.494	253.18
LT2	71	71	65.741	58.05	57.357	249.266
LT2	71.125	71.125	58.389	59.324	57.208	245.708
LT2	71.25	71.25	58.757	61.143	57.047	245.89
LT2	71.375	71.375	66.358	62.413	56.873	249.455
LT2	71.5	71.5	75.148	62.441	56.688	253.046
LT2	71.625	71.625	79.883	61.101	56.494	253.291
LT2	71.75	71.75	79.917	59.142	56.29	251.264
LT2	71.875	71.875	78.498	57.023	56.081	248.461
LT2	72	72	76.107	54.941	55.865	244.67
LT2	72.125	72.125	74.601	52.881	55.645	243.072
LT2	72.25	72.25	75.534	50.904	55.421	245.668
LT2	72.375	72.375	77.425	49.233	55.196	250.789
LT2	72.5	72.5	78.471	47.777	54.973	257.329
LT2	72.625	72.625	78.515	46.444	54.754	265.708
LT2	72.75	72.75	78.731	45.352	54.545	273.927
LT2	72.875	72.875	79.308	44.579	54.347	280.14
LT2	73	73	79.79	44.102	54.166	284.622
LT2	73.125	73.125	80.332	43.623	54.002	287.738
LT2	73.25	73.25	81.082	42.914	53.856	288.768
LT2	73.375	73.375	81.657	41.872	53.73	287.333
LT2	73.5	73.5	82.197	40.473	53.624	284.69
LT2	73.625	73.625	83.332	38.934	53.537	281.191
LT2	73.75	73.75	84.757	37.688	53.47	276.662
LT2	73.875	73.875	85.58	36.74	53.423	272.357
LT2	74	74	85.103	36.111	53.395	269.277
LT2	74.125	74.125	84.054	36.089	53.389	269.922
LT2	74.25	74.25	83.363	36.798	53.404	275.72
LT2	74.375	74.375	83.254	37.831	53.443	282.455
LT2	74.5	74.5	83.032	38.078	53.505	288.966
LT2	74.625	74.625	82.379	37.158	53.591	298.918
LT2	74.75	74.75	81.427	35.524	53.701	308.689
LT2	74.875	74.875	80.664	34.065	53.833	319.616
LT2	75	75	80.576	33.084	53.984	338.031
LT2	75.125	75.125	81.199	32.651	54.151	357.065
LT2	75.25	75.25	82.155	32.732	54.331	372.331
LT2	75.375	75.375	83.335	33.268	54.52	387.654
LT2	75.5	75.5	84.867	33.978	54.718	395.397
LT2	75.625	75.625	86.281	34.618	54.921	386.821
LT2	75.75	75.75	86.032	35.19	55.128	365.379
LT2	75.875	75.875	84.212	35.625	55.34	342.549
LT2	76	76	82.053	35.88	55.556	328.195
LT2	76.125	76.125	80.535	36.163	55.776	329.601
LT2	76.25	76.25	79.623	36.701	55.997	347.974
LT2	76.375	76.375	79.199	37.452	56.218	375.762
LT2	76.5	76.5	79.436	38.232	56.436	400.796
LT2	76.625	76.625	80.305	38.849	56.648	408.213
LT2	76.75	76.75	81.522	39.076	56.851	393.411
LT2	76.875	76.875	82.437	38.754	57.041	367.27
LT2	77	77	82.265	38.42	57.217	346.749
LT2	77.125	77.125	80.501	38.54	57.378	336.259
LT2	77.25	77.25	78.382	39.004	57.519	335.148
LT2	77.375	77.375	77.402	39.312	57.642	338.566
LT2	77.5	77.5	78.358	39.058	57.745	339.779
LT2	77.625	77.625	79.903	38.132	57.827	329.709
LT2	77.75	77.75	80.766	36.855	57.89	309.83
LT2	77.875	77.875	80.727	35.78	57.933	288.791
LT2	78	78	80.593	35.357	57.957	277.551
LT2	78.125	78.125	80.921	35.447	57.964	278.075
LT2	78.25	78.25	81.704	35.659	57.949	283.081
LT2	78.375	78.375	82.595	35.694	57.916	294.064
LT2	78.5	78.5	83.388	35.406	57.864	322.046
LT2	78.625	78.625	83.69	34.78	57.793	362.401
LT2	78.75	78.75	83.073	34.037	57.705	400.305
LT2	78.875	78.875	81.798	33.289	57.603	432.729
LT2	79	79	81.175	32.565	57.487	450.633
LT2	79.125	79.125	81.979	31.959	57.361	449.235
LT2	79.25	79.25	83.043	31.638	57.226	434.226
